sep=;
Astrée Analysis Report
1. Results
1.1. Control flow
Caller;Callee;Call site;Process
_ResumeAllInterrupts;rba_BswSrv_ReleaseLockCommon___1661;ALL_bc_with_context.c:283781.1-38;Process 42
_ResumeAllInterrupts;rba_BswSrv_ReleaseLockCommon___1661;ALL_bc_with_context.c:283781.1-38;main-process
_SuspendAllInterrupts;rba_BswSrv_GetLockCommon___1661;ALL_bc_with_context.c:283758.1-34;Process 42
_SuspendAllInterrupts;rba_BswSrv_GetLockCommon___1661;ALL_bc_with_context.c:283758.1-34;main-process
AccPr_ChkAccPermExt;rba_MemLay_GetAddresPtrFromInfotableEntry;ALL_bc_with_context.c:201560.33-98;Process 42
AccPr_ChkAccPermExt;rba_MemLay_GetInfTabEntry;ALL_bc_with_context.c:201555.24-201556.44;Process 42
AcExtChrgrCtrl_Proc_10ms;ACEXTCHRGRCTRL_STMAC_IMPL_calc___1781;ALL_bc_with_context.c:965.2-73;Process 42
Adc_EnableHardwareTrigger;Det_ReportError;ALL_bc_with_context.c:311233.14-49;main-process
Adc_EnableHardwareTrigger;Det_ReportError;ALL_bc_with_context.c:311241.14-49;main-process
Adc_EnableHardwareTrigger;Det_ReportError;ALL_bc_with_context.c:311249.14-49;main-process
Adc_EnableHardwareTrigger;rba_AdcJdp_EnableHardwareTrigger;ALL_bc_with_context.c:311291.8-95;main-process
Adc_EnableHardwareTrigger;rba_BswSrv_GetLockCommon___0;ALL_bc_with_context.c:311259.8-38;main-process
Adc_EnableHardwareTrigger;rba_BswSrv_ReleaseLockCommon___0;ALL_bc_with_context.c:311294.8-42;main-process
Adc_ForceLow___2452;rba_IoSigAdc_ForceLow;ALL_bc_with_context.c:497400.11-46;Process 42
Adc_Get___1849;rba_IoSigAdc_Get;ALL_bc_with_context.c:110374.11-54;main-process
Adc_Get___1850;rba_IoSigAdc_Get;ALL_bc_with_context.c:106589.11-54;Process 42
Adc_Get___1865;rba_IoSigAdc_Get;ALL_bc_with_context.c:113429.11-54;main-process
Adc_Get___1866;rba_IoSigAdc_Get;ALL_bc_with_context.c:112983.11-54;Process 42
Adc_Get___2021;rba_IoSigAdc_Get;ALL_bc_with_context.c:337375.11-54;main-process
Adc_Get___2022;rba_IoSigAdc_Get;ALL_bc_with_context.c:336931.11-54;Process 42
Adc_Get___2045;rba_IoSigAdc_Get;ALL_bc_with_context.c:482624.11-54;Process 42
Adc_Get___2054;rba_IoSigAdc_Get;ALL_bc_with_context.c:366635.11-54;main-process
Adc_Get___2055;rba_IoSigAdc_Get;ALL_bc_with_context.c:366189.11-54;Process 42
Adc_Get___2061;rba_IoSigAdc_Get;ALL_bc_with_context.c:367729.11-54;main-process
Adc_Get___2062;rba_IoSigAdc_Get;ALL_bc_with_context.c:367283.11-54;Process 42
Adc_Get___2379;rba_IoSigAdc_Get;ALL_bc_with_context.c:380097.11-54;Process 42
Adc_Get___3701;rba_IoSigAdc_Get;ALL_bc_with_context.c:324839.11-54;Process 42
Adc_Get___3708;rba_IoSigAdc_Get;ALL_bc_with_context.c:586746.11-54;main-process
Adc_Get___3709;rba_IoSigAdc_Get;ALL_bc_with_context.c:586302.11-54;Process 42
Adc_Get___3715;rba_IoSigAdc_Get;ALL_bc_with_context.c:587842.11-54;main-process
Adc_Get___3716;rba_IoSigAdc_Get;ALL_bc_with_context.c:587396.11-54;Process 42
Adc_GetRawRatio___2452;rba_IoSigAdc_GetRawRatio;ALL_bc_with_context.c:497290.11-61;Process 42
Adc_Init;Det_ReportError;ALL_bc_with_context.c:167996.14-50;main-process
Adc_Init;rba_AdcJdp_Init;ALL_bc_with_context.c:168059.1-45;main-process
Adc_Rb_StartForceLow;rba_AdcJdp_StartForceLow;ALL_bc_with_context.c:105561.22-65;Process 42
Adc_Rb_StopForceLow;rba_AdcJdp_StopForceLow;ALL_bc_with_context.c:105819.4-31;Process 42
