sep=;
Variable;Function;Access;Process;Data races;Shared variable;Byte offset;Location
"Y_a___3554@""ALL_bc_with_context.c""";SrvF_Exp;read;Process 42;no;no;all;ALL_bc_with_context.c:107123.12-27
"Y_a___3554@""ALL_bc_with_context.c""";SrvF_Exp;read;Process 42;no;no;[0,63];ALL_bc_with_context.c:107123.62-82
"Y_a___3554@""ALL_bc_with_context.c""";SrvF_Exp;read;Process 42;no;no;[4,67];ALL_bc_with_context.c:107123.85-100
"xWR_WAK_CAN_uo@rba_IoExtCy329_Prv_PwrSetCanWakCond@""ALL_bc_with_context.c""";Bfx_Prv_PutBits_u16u8u8u16_Inl___3051;read;main-process;no;no;all;ALL_bc_with_context.c:316561.84-89
"xWR_WAK_CAN_uo@rba_IoExtCy329_Prv_PwrSetCanWakCond@""ALL_bc_with_context.c""";rba_Msc_GetCmdVal;write;main-process;no;no;all;ALL_bc_with_context.c:79847.8-20
"xWR_WAK_CAN_uo@rba_IoExtCy329_Prv_PwrSetCanWakCond@""ALL_bc_with_context.c""";Bfx_Prv_PutBits_u16u8u8u16_Inl___3051;write;main-process;no;no;all;ALL_bc_with_context.c:316561.4-9
xUsBuf_pau8@rba_IoExtCy329_Prv_UpdtMscMirrorRegPs;rba_Msc_GetUsBuf;write;Process 42;no;no;all;ALL_bc_with_context.c:79482.8-20
xUsBuf_pau8@rba_IoExtCy329_Prv_UpdtMscMirrorRegPs;rba_Msc_GetUsBuf;write;Process 42;no;no;all;ALL_bc_with_context.c:79520.8-20
xUsBuf_pau8@rba_IoExtCy329_Prv_UpdtMscMirrorReg;rba_Msc_GetUsBuf;write;Process 42;no;no;all;ALL_bc_with_context.c:79482.8-20
xUsBuf_pau8@rba_IoExtCy329_Prv_UpdtMscMirrorReg;rba_Msc_GetUsBuf;write;Process 42;no;no;all;ALL_bc_with_context.c:79520.8-20
xUsBuf_pau8@rba_IoExtCy329_Prv_GetMscFrm;rba_Msc_GetUsBuf;write;Process 42;no;no;all;ALL_bc_with_context.c:79482.8-20
xUsBuf_pau8@rba_IoExtCy329_Prv_GetMscFrm;rba_Msc_GetUsBuf;write;Process 42;no;no;all;ALL_bc_with_context.c:79520.8-20
